,,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19
"T1 North Shore, Northern and Western Line",Adult,"8,575,135","9,484,134","8,956,112","8,778,524","9,221,978","8,036,202","7,774,754","8,446,672","9,994,667","8,111,738","10,184,630","9,333,731","9,247,078","9,969,136","9,473,985","9,648,065","8,131,940",,,,,,,,,,,,,,,,,
"T1 North Shore, Northern and Western Line",Child/Youth,"432,083","370,300","425,154","438,430","404,288","505,401","552,039","394,228","426,221","506,330","377,342","421,819","543,192","385,194","478,539","454,655","347,198",,,,,,,,,,,,,,,,,
"T1 North Shore, Northern and Western Line",Concession,"790,206","1,081,373","855,554","839,434","677,907","524,749","488,489","607,040","1,187,470","824,351","1,110,089","775,525","679,908","1,147,815","894,566","908,252","607,709",,,,,,,,,,,,,,,,,
"T1 North Shore, Northern and Western Line",Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,3,14,5,,,,,,,,,,,,,,,,,,
"T1 North Shore, Northern and Western Line",Day Pass without SAF,,,,,,,,,,,,,,9,78,26,,,,,,,,,,,,,,,,,,
"T1 North Shore, Northern and Western Line",Employee,"101,255","118,953","116,703","110,616","121,988","107,270","97,568","110,490","128,093","97,808","127,495","118,098","109,516","119,095","107,264","106,065","91,293",,,,,,,,,,,,,,,,,
"T1 North Shore, Northern and Western Line",Free Travel,"9,429","11,477","11,259","11,744","12,608","10,920","9,976","11,494","13,291","11,147","13,745","12,203","12,363","13,432","11,721","11,424","9,911",,,,,,,,,,,,,,,,,
"T1 North Shore, Northern and Western Line",School Student,"217,702","502,695","375,289","338,381","456,338","174,567","30,356","464,128","555,627","191,132","572,689","467,968","249,878","548,932","370,025","369,623","393,223",,,,,,,,,,,,,,,,,
"T1 North Shore, Northern and Western Line",Senior/Pensioner,"880,165","986,891","958,036","971,764","1,002,122","923,518","852,475","892,348","1,021,345","885,705","1,030,781","969,060","963,069","997,504","962,646","975,085","832,315",,,,,,,,,,,,,,,,,
"T1 North Shore, Northern and Western Line",Sgl Trip Rail Adult,"20,587","79,617","80,999","80,716","82,110","94,943","76,493","72,444","82,624","76,315","76,555","76,471","85,059","84,262","84,439","86,835","74,147",,,,,,,,,,,,,,,,,
"T1 North Shore, Northern and Western Line",Sgl Trip Rail Child/Youth,"7,516","19,407","23,395","22,204","18,246","29,155","28,172","15,911","19,197","26,095","18,311","21,146","30,435","21,061","25,091","23,503","16,603",,,,,,,,,,,,,,,,,
"T2 Airport, Inner West and South Line",Adult,"5,266,404","5,568,667","5,382,635","5,328,090","5,519,508","5,124,055","4,988,179","5,164,752","5,888,618","5,142,431","6,145,569","5,775,957","5,772,717","6,154,100","5,843,799","6,060,992","5,176,662",,,,,,,,,,,,,,,,,
"T2 Airport, Inner West and South Line",Child/Youth,"237,705","202,533","228,278","235,099","209,515","286,848","327,064","198,930","212,256","280,438","202,197","242,473","310,963","217,247","258,656","248,187","196,351",,,,,,,,,,,,,,,,,
"T2 Airport, Inner West and South Line",Concession,"527,290","624,672","506,205","486,778","402,211","326,413","308,993","369,619","658,641","494,004","640,479","473,617","423,577","677,580","533,649","530,333","373,709",,,,,,,,,,,,,,,,,
"T2 Airport, Inner West and South Line",Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,
"T2 Airport, Inner West and South Line",Day Pass without SAF,,,,,,,,,,,,,,5,28,13,,,,,,,,,,,,,,,,,,
"T2 Airport, Inner West and South Line",Employee,"63,235","71,633","71,296","69,185","75,731","68,435","62,458","68,436","78,772","62,556","79,565","75,076","74,716","81,286","72,377","73,184","62,645",,,,,,,,,,,,,,,,,
"T2 Airport, Inner West and South Line",Free Travel,"5,175","6,570","6,399","6,483","7,085","6,388","6,036","6,569","7,439","6,596","7,557","6,882","7,182","7,637","6,523","7,055","6,182",,,,,,,,,,,,,,,,,
"T2 Airport, Inner West and South Line",School Student,"83,558","196,783","144,178","133,585","177,666","72,619","11,476","180,228","221,747","77,961","228,954","195,285","103,110","230,911","153,025","158,118","165,753",,,,,,,,,,,,,,,,,
"T2 Airport, Inner West and South Line",Senior/Pensioner,"544,665","598,300","592,001","610,371","617,855","590,856","559,418","550,473","615,383","571,992","643,324","617,657","609,771","621,555","603,783","620,159","537,582",,,,,,,,,,,,,,,,,
"T2 Airport, Inner West and South Line",Sgl Trip Rail Adult,"35,335","135,457","142,834","145,110","146,941","160,986","134,011","136,952","147,222","138,111","140,308","138,458","158,568","158,954","158,600","170,215","150,045",,,,,,,,,,,,,,,,,
"T2 Airport, Inner West and South Line",Sgl Trip Rail Child/Youth,"5,815","16,203","19,167","17,857","14,246","25,398","26,144","13,796","15,071","22,451","14,618","19,344","30,569","20,893","23,092","22,574","16,116",,,,,,,,,,,,,,,,,
T3 Bankstown Line,Adult,"1,615,473","1,767,064","1,689,548","1,691,384","1,747,282","1,588,061","1,529,871","1,557,785","1,858,232","1,617,781","1,926,075","1,790,468","1,595,259","1,771,896","1,680,504","1,758,462","1,819,687","1,665,264","1,620,196","1,596,492","1,891,061","1,837,444","2,046,455","1,869,787","1,908,824","1,965,061","1,896,056","1,985,959","1,898,095","1,871,057","1,729,333","1,756,545","2,022,964","1,887,198"
T3 Bankstown Line,Child/Youth,"83,619","76,553","86,852","91,282","81,801","103,801","112,245","75,895","85,381","105,937","77,414","86,600","98,067","77,292","91,289","91,144","84,767","108,790","112,479","76,953","90,388","110,789","78,768","88,031","112,238","79,152","84,521","97,130","77,261","112,234","112,732","80,983","89,800","107,251"
T3 Bankstown Line,Concession,"174,271","215,917","174,931","168,905","139,608","111,584","104,421","121,362","223,871","169,963","218,231","160,304","128,362","210,562","167,685","168,488","143,320","113,343","104,324","120,029","217,228","190,414","227,385","161,606","149,095","223,549","181,051","176,741","137,548","117,632","104,995","136,224","223,086","189,431"
T3 Bankstown Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,007","32,110","40,668","43,070","52,837","53,439"
T3 Bankstown Line,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,,,1,,7,4
T3 Bankstown Line,Day Pass without SAF,,,,,,,,,,,,,,1,6,2,,,,,,2,5,2,4,7,3,14,20,12,10,9,19,21
T3 Bankstown Line,Employee,"13,196","15,391","15,547","15,093","16,371","15,432","13,597","14,636","17,174","14,479","18,095","16,640","13,287","14,633","13,182","12,828","14,566","13,881","13,375","13,277","15,792","15,035","17,500","15,641","15,059","15,701","15,037","16,839","16,265","17,118","14,987","16,078","19,297","17,771"
T3 Bankstown Line,Free Travel,"1,087","1,328","1,338","1,361","1,545","1,396","1,221","1,360","1,448","1,462","1,659","1,486","1,322","1,509","1,287","1,240","1,341","1,412","1,154","1,359","1,616","1,581","1,766","1,588","1,683","1,729","1,613","1,906","1,961","2,044","1,668","1,723","1,948","1,879"
